,Provinsi,Kabupaten
1,Kepulauan Bangka Belitung,Kabupaten Bangka
2,Kepulauan Bangka Belitung,Kabupaten Bangka Barat
3,Kepulauan Bangka Belitung,Kabupaten Bangka Selatan
4,Kepulauan Bangka Belitung,Kabupaten Bangka Tengah
5,Kepulauan Bangka Belitung,Kabupaten Belitung
6,Kepulauan Bangka Belitung,Kabupaten Belitung Timur
7,Kepulauan Bangka Belitung,Kota Pangkalpinang
1,Lampung,Kabupaten Lampung Barat
2,Lampung,Kabupaten Lampung Selatan
3,Lampung,Kabupaten Lampung Tengah
4,Lampung,Kabupaten Lampung Timur
5,Lampung,Kabupaten Lampung Utara
6,Lampung,Kabupaten Mesuji
7,Lampung,Kabupaten Pesawaran
8,Lampung,Kabupaten Pesisir Barat
9,Lampung,Kabupaten Pringsewu
10,Lampung,Kabupaten Tanggamus
11,Lampung,Kabupaten Tulang Bawang
12,Lampung,Kabupaten Tulang Bawang Barat
13,Lampung,Kabupaten Way Kanan
14,Lampung,Kota Bandar Lampung
15,Lampung,Kota Metro
1,Banten,Kabupaten Lebak
2,Banten,Kabupaten Pandeglang
3,Banten,Kabupaten Serang
4,Banten,Kabupaten Tangerang
5,Banten,Kota Cilegon
6,Banten,Kota Serang
7,Banten,Kota Tangerang
8,Banten,Kota Tangerang Selatan
1,Jawa Barat,Kabupaten Bandung
2,Jawa Barat,Kabupaten Bandung Barat
3,Jawa Barat,Kabupaten Bekasi
4,Jawa Barat,Kabupaten Bogor
5,Jawa Barat,Kabupaten Ciamis
6,Jawa Barat,Kabupaten Cianjur
7,Jawa Barat,Kabupaten Cirebon
8,Jawa Barat,Kabupaten Garut
9,Jawa Barat,Kabupaten Indramayu
10,Jawa Barat,Kabupaten Karawang
11,Jawa Barat,Kabupaten Kuningan
12,Jawa Barat,Kabupaten Majalengka
13,Jawa Barat,Kabupaten Pangandaran
14,Jawa Barat,Kabupaten Purwakarta
15,Jawa Barat,Kabupaten Subang
16,Jawa Barat,Kabupaten Sukabumi
17,Jawa Barat,Kabupaten Sumedang
18,Jawa Barat,Kabupaten Tasikmalaya
19,Jawa Barat,Kota Bandung
20,Jawa Barat,Kota Banjar
21,Jawa Barat,Kota Bekasi
22,Jawa Barat,Kota Bogor
23,Jawa Barat,Kota Cimahi
24,Jawa Barat,Kota Cirebon
25,Jawa Barat,Kota Depok
26,Jawa Barat,Kota Sukabumi
27,Jawa Barat,Kota Tasikmalaya
1,Daerah Khusus Ibukota Jakarta,Kabupaten Administrasi Kepulauan Seribu
2,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Barat
3,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Pusat
4,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Selatan
5,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Timur
6,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Utara
1,Jawa Tengah,Kabupaten Banjarnegara
2,Jawa Tengah,Kabupaten Banyumas
3,Jawa Tengah,Kabupaten Batang
4,Jawa Tengah,Kabupaten Blora
5,Jawa Tengah,Kabupaten Boyolali
6,Jawa Tengah,Kabupaten Brebes
7,Jawa Tengah,Kabupaten Cilacap
8,Jawa Tengah,Kabupaten Demak
9,Jawa Tengah,Kabupaten Grobogan
10,Jawa Tengah,Kabupaten Jepara
11,Jawa Tengah,Kabupaten Karanganyar
12,Jawa Tengah,Kabupaten Kebumen
13,Jawa Tengah,Kabupaten Kendal
14,Jawa Tengah,Kabupaten Klaten
15,Jawa Tengah,Kabupaten Kudus
16,Jawa Tengah,Kabupaten Magelang
17,Jawa Tengah,Kabupaten Pati
18,Jawa Tengah,Kabupaten Pekalongan
19,Jawa Tengah,Kabupaten Pemalang
20,Jawa Tengah,Kabupaten Purbalingga
21,Jawa Tengah,Kabupaten Purworejo
22,Jawa Tengah,Kabupaten Rembang
23,Jawa Tengah,Kabupaten Semarang
24,Jawa Tengah,Kabupaten Sragen
25,Jawa Tengah,Kabupaten Sukoharjo
26,Jawa Tengah,Kabupaten Tegal
27,Jawa Tengah,Kabupaten Temanggung
28,Jawa Tengah,Kabupaten Wonogiri
29,Jawa Tengah,Kabupaten Wonosobo
30,Jawa Tengah,Kota Magelang
31,Jawa Tengah,Kota Pekalongan
32,Jawa Tengah,Kota Salatiga
33,Jawa Tengah,Kota Semarang
34,Jawa Tengah,Kota Surakarta
35,Jawa Tengah,Kota Tegal
1,Daerah Istimewa Yogyakarta,Kabupaten Bantul
2,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul
3,Daerah Istimewa Yogyakarta,Kabupaten Kulon Progo
4,Daerah Istimewa Yogyakarta,Kabupaten Sleman
5,Daerah Istimewa Yogyakarta,Kota Yogyakarta
1,Jawa Timur,Bangkalan
2,Jawa Timur,Banyuwangi
3,Jawa Timur,Blitar
4,Jawa Timur,Bojonegoro
5,Jawa Timur,Bondowoso
6,Jawa Timur,Gresik
7,Jawa Timur,Jember
8,Jawa Timur,Jombang
9,Jawa Timur,Kediri
10,Jawa Timur,Lamongan
11,Jawa Timur,Lumajang
12,Jawa Timur,Madiun
13,Jawa Timur,Magetan
14,Jawa Timur,Malang
15,Jawa Timur,Mojokerto
16,Jawa Timur,Nganjuk
17,Jawa Timur,Ngawi
18,Jawa Timur,Pacitan
19,Jawa Timur,Pamekasan
20,Jawa Timur,Pasuruan
21,Jawa Timur,Ponorogo
22,Jawa Timur,Probolinggo
23,Jawa Timur,Sampang
24,Jawa Timur,Sidoarjo
25,Jawa Timur,Situbondo
26,Jawa Timur,Sumenep
27,Jawa Timur,Trenggalek
28,Jawa Timur,Tuban
29,Jawa Timur,Tulungagung
30,Jawa Timur,Kota Batu
31,Jawa Timur,Kota Blitar
32,Jawa Timur,Kota Kediri
33,Jawa Timur,Kota Madiun
34,Jawa Timur,Kota Malang
35,Jawa Timur,Kota Mojokerto
36,Jawa Timur,Kota Pasuruan
37,Jawa Timur,Kota Probolinggo
38,Jawa Timur,Kota Surabaya
1,Bali,Kabupaten Badung
2,Bali,Kabupaten Bangli
3,Bali,Kabupaten Buleleng
4,Bali,Kabupaten Gianyar
5,Bali,Kabupaten Jembrana
6,Bali,Kabupaten Karangasem
7,Bali,Kabupaten Klungkung
8,Bali,Kabupaten Tabanan
9,Bali,Kota Denpasar
1,Nusa Tenggara Barat,Kabupaten Bima
2,Nusa Tenggara Barat,Kabupaten Dompu
3,Nusa Tenggara Barat,Kabupaten Lombok Barat
4,Nusa Tenggara Barat,Kabupaten Lombok Tengah
5,Nusa Tenggara Barat,Kabupaten Lombok Timur
6,Nusa Tenggara Barat,Kabupaten Lombok Utara
7,Nusa Tenggara Barat,Kabupaten Sumbawa
8,Nusa Tenggara Barat,Kabupaten Sumbawa Barat
9,Nusa Tenggara Barat,Kota Bima
10,Nusa Tenggara Barat,Kota Mataram
1,Aceh,Kabupaten Aceh Barat
2,Aceh,Kabupaten Aceh Barat Daya
3,Aceh,Kabupaten Aceh Besar
4,Aceh,Kabupaten Aceh Jaya
5,Aceh,Kabupaten Aceh Selatan
6,Aceh,Kabupaten Aceh Singkil
7,Aceh,Kabupaten Aceh Tamiang
8,Aceh,Kabupaten Aceh Tengah
9,Aceh,Kabupaten Aceh Tenggara
10,Aceh,Kabupaten Aceh Timur
11,Aceh,Kabupaten Aceh Utara
12,Aceh,Kabupaten Bener Meriah
13,Aceh,Kabupaten Bireuen
14,Aceh,Kabupaten Gayo Lues
15,Aceh,Kabupaten Nagan Raya
16,Aceh,Kabupaten Pidie
17,Aceh,Kabupaten Pidie Jaya
18,Aceh,Kabupaten Simeulue
19,Aceh,Kota Banda Aceh
20,Aceh,Kota Langsa
21,Aceh,Kota Lhokseumawe
22,Aceh,Kota Sabang
23,Aceh,Kota Subulussalam
1,Nusa Tenggara Timur,Kabupaten Alor
2,Nusa Tenggara Timur,Kabupaten Belu
3,Nusa Tenggara Timur,Kabupaten Ende
4,Nusa Tenggara Timur,Kabupaten Flores Timur
5,Nusa Tenggara Timur,Kabupaten Kupang
6,Nusa Tenggara Timur,Kabupaten Lembata
7,Nusa Tenggara Timur,Kabupaten Malaka
8,Nusa Tenggara Timur,Kabupaten Manggarai
9,Nusa Tenggara Timur,Kabupaten Manggarai Barat
10,Nusa Tenggara Timur,Kabupaten Manggarai Timur
11,Nusa Tenggara Timur,Kabupaten Nagekeo
12,Nusa Tenggara Timur,Kabupaten Ngada
13,Nusa Tenggara Timur,Kabupaten Rote Ndao
14,Nusa Tenggara Timur,Kabupaten Sabu Raijua
15,Nusa Tenggara Timur,Kabupaten Sikka
16,Nusa Tenggara Timur,Kabupaten Sumba Barat
17,Nusa Tenggara Timur,Kabupaten Sumba Barat Daya
18,Nusa Tenggara Timur,Kabupaten Sumba Tengah
19,Nusa Tenggara Timur,Kabupaten Sumba Timur
20,Nusa Tenggara Timur,Kabupaten Timor Tengah Selatan
21,Nusa Tenggara Timur,Kabupaten Timor Tengah Utara
22,Nusa Tenggara Timur,Kota Kupang
1,Kalimantan Barat,Kabupaten Bengkayang
2,Kalimantan Barat,Kabupaten Kapuas Hulu
3,Kalimantan Barat,Kabupaten Kayong Utara
4,Kalimantan Barat,Kabupaten Ketapang
5,Kalimantan Barat,Kabupaten Kubu Raya
6,Kalimantan Barat,Kabupaten Landak
7,Kalimantan Barat,Kabupaten Melawi
8,Kalimantan Barat,Kabupaten Mempawah
9,Kalimantan Barat,Kabupaten Sambas
10,Kalimantan Barat,Kabupaten Sanggau
11,Kalimantan Barat,Kabupaten Sekadau
12,Kalimantan Barat,Kabupaten Sintang
13,Kalimantan Barat,Kota Pontianak
14,Kalimantan Barat,Kota Singkawang
1,Kalimantan Selatan,Kabupaten Balangan
2,Kalimantan Selatan,Kabupaten Banjar
3,Kalimantan Selatan,Kabupaten Barito Kuala
4,Kalimantan Selatan,Kabupaten Hulu Sungai Selatan
5,Kalimantan Selatan,Kabupaten Hulu Sungai Tengah
6,Kalimantan Selatan,Kabupaten Hulu Sungai Utara
7,Kalimantan Selatan,Kabupaten Kotabaru
8,Kalimantan Selatan,Kabupaten Tabalong
9,Kalimantan Selatan,Kabupaten Tanah Bumbu
10,Kalimantan Selatan,Kabupaten Tanah Laut
11,Kalimantan Selatan,Kabupaten Tapin
12,Kalimantan Selatan,Kota Banjarbaru
13,Kalimantan Selatan,Kota Banjarmasin
1,Kalimantan Tengah,Kabupaten Barito Selatan
2,Kalimantan Tengah,Kabupaten Barito Timur
3,Kalimantan Tengah,Kabupaten Barito Utara
4,Kalimantan Tengah,Kabupaten Gunung Mas
5,Kalimantan Tengah,Kabupaten Kapuas
